rank tag source dest timestamp
2 1484 2 0 1292884.993
2 1485 2 0 1292884.994
2 1488 2 0 1292884.996
2 1489 2 0 1292884.997
2 1490 2 0 1292885
2 1491 2 0 1292885
2 1492 2 0 1292885.001
2 1493 2 0 1292885.002
2 1494 2 0 1292885.01
2 1495 2 0 1292885.023
2 1497 2 0 1292885.026
2 1499 2 0 1292885.028
2 1500 2 0 1292885.028
2 1501 2 0 1292885.029
2 1502 2 0 1292885.048
2 1503 2 0 1292885.333
2 1504 2 0 1292885.338
2 1505 2 0 1292885.345
2 1506 2 0 1292885.927
2 1508 2 0 1292885.928
2 1510 2 0 1292885.928
2 1511 2 0 1292885.929
2 1512 2 0 1292885.929
2 1513 2 0 1292885.947
2 1516 2 0 1292886.093
2 1517 2 0 1292886.096
2 1520 2 0 1292886.098
2 1521 2 0 1292886.099
2 1524 2 0 1292886.102
2 1525 2 0 1292886.103
2 1526 2 0 1292886.104
2 1527 2 0 1292886.104
2 1528 2 0 1292886.105
2 1536 2 0 1292886.224
2 1543 2 0 1292886.431
2 1544 2 0 1292886.433
2 1547 2 0 1292886.436
2 1548 2 0 1292886.437
2 1551 2 0 1292886.439
2 1552 2 0 1292886.44
2 1553 2 0 1292886.441
2 1554 2 0 1292886.441
2 1555 2 0 1292886.442
2 1559 2 0 1292886.462
2 1560 2 0 1292886.464
2 1563 2 0 1292886.466
2 1564 2 0 1292886.467
2 1567 2 0 1292886.469
2 1568 2 0 1292886.47
2 1569 2 0 1292886.471
2 1570 2 0 1292886.471
2 1571 2 0 1292886.472
2 1583 2 0 1292886.58
2 1592 2 0 1292887.017
2 1593 2 0 1292887.018
2 1594 2 0 1292887.02
2 1598 2 0 1292887.041
2 1599 2 0 1292887.044
2 1602 2 0 1292887.047
2 1603 2 0 1292887.048
2 1606 2 0 1292887.05
2 1607 2 0 1292887.052
2 1608 2 0 1292887.053
2 1609 2 0 1292887.053
2 1610 2 0 1292887.054
2 1614 2 0 1292887.074
2 1615 2 0 1292887.076
2 1618 2 0 1292887.079
2 1619 2 0 1292887.08
2 1622 2 0 1292887.082
2 1623 2 0 1292887.083
2 1624 2 0 1292887.084
2 1625 2 0 1292887.084
2 1626 2 0 1292887.085
3 1000 3 0 1292874.486
3 1001 3 0 1292874.49
3 1002 3 0 1292874.537
3 1003 3 0 1292874.539
3 1004 3 0 1292874.542
3 1005 3 0 1292874.544
3 1006 3 0 1292874.546
3 1007 3 0 1292874.548
3 1008 3 0 1292874.601
3 1009 3 0 1292874.606
3 1010 3 0 1292874.657
3 1011 3 0 1292874.66
3 1012 3 0 1292874.663
3 1013 3 0 1292874.666
3 1014 3 0 1292874.668
3 1015 3 0 1292874.671
3 1016 3 0 1292874.721
3 1017 3 0 1292874.726
3 1018 3 0 1292874.774
3 1019 3 0 1292874.778
3 1020 3 0 1292874.781
3 1021 3 0 1292874.783
3 1022 3 0 1292874.786
3 1023 3 0 1292874.788
3 1024 3 0 1292874.792
3 1025 3 0 1292874.795
3 1026 3 0 1292874.832
3 1027 3 0 1292874.836
3 1028 3 0 1292874.838
3 1029 3 0 1292874.84
3 1030 3 0 1292874.842
3 1031 3 0 1292874.844
3 1040 3 0 1292875.13
3 1049 3 0 1292876.281
3 1050 3 0 1292876.283
3 1051 3 0 1292876.285
3 1056 3 0 1292876.299
3 1060 3 0 1292876.302
3 1064 3 0 1292876.307
3 1065 3 0 1292876.308
3 1066 3 0 1292876.308
3 1067 3 0 1292876.309
3 1072 3 0 1292876.32
3 1076 3 0 1292876.324
3 1080 3 0 1292876.328
3 1081 3 0 1292876.329
3 1082 3 0 1292876.33
3 1083 3 0 1292876.331
3 1100 3 0 1292876.402
3 1101 3 0 1292876.403
3 1102 3 0 1292876.404
3 1103 3 0 1292876.406
3 1104 3 0 1292876.414
3 1105 3 0 1292876.45
3 1106 3 0 1292876.717
3 1107 3 0 1292876.724
3 1108 3 0 1292876.732
3 1114 3 0 1292877.34
3 1115 3 0 1292877.382
3 1121 3 0 1292877.531
3 1122 3 0 1292877.531
3 1123 3 0 1292877.532
3 1124 3 0 1292877.532
3 1129 3 0 1292877.618
3 1133 3 0 1292877.621
3 1137 3 0 1292877.627
3 1138 3 0 1292877.628
3 1139 3 0 1292877.628
3 1140 3 0 1292877.629
3 1141 3 0 1292877.631
3 1142 3 0 1292877.638
3 1143 3 0 1292877.651
3 1144 3 0 1292877.652
3 1145 3 0 1292877.654
3 1147 3 0 1292877.655
3 1148 3 0 1292877.655
3 1149 3 0 1292877.656
3 1150 3 0 1292877.674
3 1151 3 0 1292877.942
3 1152 3 0 1292877.951
3 1153 3 0 1292877.959
3 1159 3 0 1292878.581
3 1160 3 0 1292878.594
3 1161 3 0 1292878.595
3 1162 3 0 1292878.595
3 1164 3 0 1292878.596
3 1165 3 0 1292878.596
3 1166 3 0 1292878.597
3 1167 3 0 1292878.614
3 1173 3 0 1292878.766
3 1177 3 0 1292878.776
3 1181 3 0 1292878.779
3 1185 3 0 1292878.783
3 1186 3 0 1292878.784
3 1187 3 0 1292878.784
3 1188 3 0 1292878.785
3 1193 3 0 1292878.863
3 1197 3 0 1292878.868
3 1201 3 0 1292878.872
3 1202 3 0 1292878.873
3 1203 3 0 1292878.875
3 1204 3 0 1292878.875
3 1205 3 0 1292878.877
3 1206 3 0 1292878.884
3 1207 3 0 1292878.896
3 1208 3 0 1292878.899
3 1209 3 0 1292878.9
3 1211 3 0 1292878.901
3 1212 3 0 1292878.902
3 1213 3 0 1292878.902
3 1214 3 0 1292878.921
3 1215 3 0 1292879.208
3 1216 3 0 1292879.214
3 1217 3 0 1292879.22
3 1218 3 0 1292879.811
3 1219 3 0 1292879.813
3 1220 3 0 1292879.814
3 1222 3 0 1292879.815
3 1223 3 0 1292879.815
3 1224 3 0 1292879.815
3 1225 3 0 1292879.833
3 1229 3 0 1292879.983
3 1233 3 0 1292879.987
3 1237 3 0 1292879.99
3 1238 3 0 1292879.991
3 1239 3 0 1292879.992
3 1240 3 0 1292879.992
3 1245 3 0 1292880.078
3 1249 3 0 1292880.082
3 1253 3 0 1292880.086
3 1254 3 0 1292880.086
3 1255 3 0 1292880.087
3 1256 3 0 1292880.087
3 1257 3 0 1292880.089
3 1258 3 0 1292880.095
3 1259 3 0 1292880.107
3 1260 3 0 1292880.11
3 1261 3 0 1292880.111
3 1263 3 0 1292880.112
3 1264 3 0 1292880.112
3 1265 3 0 1292880.113
3 1266 3 0 1292880.131
3 1267 3 0 1292880.417
3 1268 3 0 1292880.424
3 1269 3 0 1292880.43
3 1270 3 0 1292881.019
3 1271 3 0 1292881.02
3 1272 3 0 1292881.021
3 1274 3 0 1292881.022
3 1275 3 0 1292881.022
3 1276 3 0 1292881.023
3 1277 3 0 1292881.04
3 1281 3 0 1292881.192
3 1285 3 0 1292881.194
3 1289 3 0 1292881.199
3 1290 3 0 1292881.201
3 1291 3 0 1292881.201
3 1292 3 0 1292881.201
3 1300 3 0 1292881.323
3 1308 3 0 1292881.534
3 1312 3 0 1292881.539
3 1316 3 0 1292881.543
3 1317 3 0 1292881.543
3 1318 3 0 1292881.544
3 1319 3 0 1292881.545
3 1324 3 0 1292881.566
3 1328 3 0 1292881.575
3 1332 3 0 1292881.579
3 1333 3 0 1292881.58
3 1334 3 0 1292881.58
3 1335 3 0 1292881.581
3 1341 3 0 1292881.621
3 1342 3 0 1292881.624
3 1343 3 0 1292881.658
3 1344 3 0 1292881.662
3 1345 3 0 1292881.665
3 1346 3 0 1292881.668
3 1347 3 0 1292881.671
3 1348 3 0 1292881.673
3 1350 3 0 1292881.701
3 1351 3 0 1292881.702
3 1352 3 0 1292881.703
3 1354 3 0 1292881.704
3 1355 3 0 1292881.705
3 1356 3 0 1292881.705
3 1357 3 0 1292881.729
3 1365 3 0 1292882.567
3 1369 3 0 1292882.571
3 1373 3 0 1292882.575
3 1374 3 0 1292882.576
3 1375 3 0 1292882.577
3 1376 3 0 1292882.579
3 1377 3 0 1292882.581
3 1378 3 0 1292882.589
3 1379 3 0 1292882.603
3 1380 3 0 1292882.604
3 1381 3 0 1292882.605
3 1383 3 0 1292882.606
3 1384 3 0 1292882.606
3 1385 3 0 1292882.607
3 1386 3 0 1292882.624
3 1387 3 0 1292882.888
3 1388 3 0 1292882.895
3 1389 3 0 1292882.903
3 1395 3 0 1292883.504
3 1396 3 0 1292883.522
3 1397 3 0 1292883.523
3 1398 3 0 1292883.524
3 1400 3 0 1292883.524
3 1401 3 0 1292883.525
3 1402 3 0 1292883.525
3 1403 3 0 1292883.542
3 1409 3 0 1292883.689
3 1413 3 0 1292883.697
3 1417 3 0 1292883.7
3 1421 3 0 1292883.705
3 1422 3 0 1292883.706
3 1423 3 0 1292883.706
3 1424 3 0 1292883.707
3 1429 3 0 1292883.785
3 1433 3 0 1292883.79
3 1437 3 0 1292883.794
3 1438 3 0 1292883.796
3 1439 3 0 1292883.797
3 1440 3 0 1292883.797
3 1441 3 0 1292883.799
3 1442 3 0 1292883.806
3 1443 3 0 1292883.818
3 1444 3 0 1292883.82
3 1445 3 0 1292883.822
3 1447 3 0 1292883.823
3 1448 3 0 1292883.823
3 1449 3 0 1292883.823
3 1450 3 0 1292883.842
3 1451 3 0 1292884.128
3 1452 3 0 1292884.135
3 1453 3 0 1292884.142
3 1454 3 0 1292884.723
3 1455 3 0 1292884.725
3 1456 3 0 1292884.725
3 1458 3 0 1292884.726
3 1459 3 0 1292884.726
3 1460 3 0 1292884.727
3 1461 3 0 1292884.744
3 1465 3 0 1292884.896
3 1469 3 0 1292884.9
3 1473 3 0 1292884.905
3 1474 3 0 1292884.906
3 1475 3 0 1292884.907
3 1476 3 0 1292884.907
3 1481 3 0 1292884.99
3 1485 3 0 1292884.993
3 1489 3 0 1292884.999
3 1490 3 0 1292885
3 1491 3 0 1292885
3 1492 3 0 1292885.001
3 1493 3 0 1292885.003
3 1494 3 0 1292885.01
3 1495 3 0 1292885.023
3 1496 3 0 1292885.025
3 1497 3 0 1292885.027
3 1499 3 0 1292885.028
3 1500 3 0 1292885.028
3 1501 3 0 1292885.029
3 1502 3 0 1292885.047
3 1503 3 0 1292885.332
3 1504 3 0 1292885.338
3 1505 3 0 1292885.345
3 1506 3 0 1292885.927
3 1507 3 0 1292885.928
3 1508 3 0 1292885.928
3 1510 3 0 1292885.929
3 1511 3 0 1292885.929
3 1512 3 0 1292885.929
3 1513 3 0 1292885.947
3 1517 3 0 1292886.095
3 1521 3 0 1292886.099
3 1525 3 0 1292886.103
3 1526 3 0 1292886.104
3 1527 3 0 1292886.105
