rank tag source timestamp
0 1278 61 1292881.189
0 1278 62 1292881.189
0 1278 63 1292881.189
0 1279 9 1292881.19
0 1279 11 1292881.19
0 1279 13 1292881.19
0 1279 15 1292881.19
0 1279 25 1292881.19
0 1279 27 1292881.19
0 1279 29 1292881.19
0 1279 31 1292881.19
0 1279 41 1292881.19
0 1279 43 1292881.19
0 1279 45 1292881.19
0 1279 47 1292881.19
0 1279 57 1292881.19
0 1279 59 1292881.19
0 1279 61 1292881.19
0 1279 63 1292881.19
0 1280 2 1292881.19
0 1280 4 1292881.19
0 1280 5 1292881.19
0 1281 1 1292881.191
0 1281 2 1292881.191
0 1281 3 1292881.191
0 1281 4 1292881.191
0 1281 5 1292881.191
0 1281 6 1292881.191
0 1281 7 1292881.191
0 1282 9 1292881.193
0 1282 11 1292881.193
0 1282 13 1292881.193
0 1282 15 1292881.193
0 1282 25 1292881.193
0 1282 27 1292881.193
0 1282 29 1292881.193
0 1282 31 1292881.193
0 1282 41 1292881.193
0 1282 43 1292881.193
0 1282 45 1292881.193
0 1282 47 1292881.193
0 1282 57 1292881.193
0 1282 59 1292881.193
0 1282 61 1292881.193
0 1282 63 1292881.193
0 1284 2 1292881.194
0 1284 4 1292881.194
0 1284 5 1292881.194
0 1285 1 1292881.195
0 1285 2 1292881.195
0 1285 3 1292881.195
0 1285 4 1292881.195
0 1285 5 1292881.195
0 1285 6 1292881.195
0 1285 7 1292881.195
0 1286 9 1292881.196
0 1286 11 1292881.196
0 1286 13 1292881.196
0 1286 15 1292881.196
0 1286 25 1292881.196
0 1286 27 1292881.196
0 1286 29 1292881.196
0 1286 31 1292881.196
0 1286 41 1292881.196
0 1286 43 1292881.196
0 1286 45 1292881.196
0 1286 47 1292881.196
0 1286 57 1292881.196
0 1286 59 1292881.196
0 1286 61 1292881.197
0 1286 63 1292881.197
0 1288 2 1292881.197
0 1288 4 1292881.197
0 1288 5 1292881.197
0 1289 1 1292881.199
0 1289 2 1292881.199
0 1289 3 1292881.199
0 1289 4 1292881.199
0 1289 5 1292881.199
0 1289 6 1292881.199
0 1289 7 1292881.199
0 1290 1 1292881.2
0 1290 2 1292881.2
0 1290 3 1292881.2
0 1290 4 1292881.2
0 1290 5 1292881.2
0 1290 6 1292881.2
0 1290 7 1292881.2
0 1291 1 1292881.201
0 1291 2 1292881.201
0 1291 3 1292881.201
0 1291 4 1292881.201
0 1291 5 1292881.201
0 1291 6 1292881.201
0 1291 7 1292881.201
0 1292 1 1292881.201
0 1292 2 1292881.201
0 1292 3 1292881.201
0 1292 4 1292881.201
0 1292 5 1292881.201
0 1292 6 1292881.201
0 1292 7 1292881.201
0 1295 7 1292881.276
0 1297 7 1292881.28
0 1300 1 1292881.323
0 1300 2 1292881.323
0 1300 3 1292881.323
0 1300 4 1292881.323
0 1300 5 1292881.323
0 1300 6 1292881.323
0 1300 7 1292881.323
0 1305 8 1292881.53
0 1305 9 1292881.53
0 1305 10 1292881.53
0 1305 11 1292881.53
0 1305 12 1292881.53
0 1305 13 1292881.53
0 1305 14 1292881.53
0 1305 15 1292881.53
0 1305 24 1292881.53
0 1305 25 1292881.53
0 1305 26 1292881.53
0 1305 27 1292881.531
0 1305 28 1292881.531
0 1305 29 1292881.531
0 1305 30 1292881.531
0 1305 31 1292881.531
0 1305 40 1292881.531
0 1305 41 1292881.531
0 1305 42 1292881.531
0 1305 43 1292881.531
0 1305 44 1292881.531
0 1305 45 1292881.531
0 1305 46 1292881.531
0 1305 47 1292881.531
0 1305 56 1292881.531
0 1305 57 1292881.531
0 1305 58 1292881.531
0 1305 59 1292881.531
0 1305 60 1292881.531
0 1305 61 1292881.531
0 1305 62 1292881.531
0 1305 63 1292881.531
0 1306 9 1292881.531
0 1306 11 1292881.531
0 1306 13 1292881.531
0 1306 15 1292881.531
0 1306 25 1292881.531
0 1306 27 1292881.531
0 1306 29 1292881.531
0 1306 31 1292881.531
0 1306 41 1292881.531
0 1306 43 1292881.531
0 1306 45 1292881.531
0 1306 47 1292881.531
0 1306 57 1292881.531
0 1306 59 1292881.531
0 1306 61 1292881.531
0 1306 63 1292881.531
0 1307 2 1292881.532
0 1307 4 1292881.532
0 1307 5 1292881.532
0 1308 1 1292881.534
0 1308 2 1292881.534
0 1308 3 1292881.534
0 1308 4 1292881.534
0 1308 5 1292881.534
0 1308 6 1292881.534
0 1308 7 1292881.534
0 1309 9 1292881.535
0 1309 11 1292881.535
0 1309 13 1292881.535
0 1309 15 1292881.535
0 1309 25 1292881.535
0 1309 27 1292881.535
0 1309 29 1292881.535
0 1309 31 1292881.535
0 1309 41 1292881.535
0 1309 43 1292881.535
0 1309 45 1292881.535
0 1309 47 1292881.535
0 1309 57 1292881.535
0 1309 59 1292881.535
0 1309 61 1292881.535
0 1309 63 1292881.535
0 1311 2 1292881.537
0 1311 4 1292881.537
0 1311 5 1292881.537
0 1312 1 1292881.538
0 1312 2 1292881.538
0 1312 3 1292881.538
0 1312 4 1292881.538
0 1312 5 1292881.538
0 1312 6 1292881.538
0 1312 7 1292881.538
0 1313 9 1292881.54
0 1313 11 1292881.54
0 1313 13 1292881.54
0 1313 15 1292881.54
0 1313 25 1292881.54
0 1313 27 1292881.54
0 1313 29 1292881.54
0 1313 31 1292881.54
0 1313 41 1292881.54
0 1313 43 1292881.54
0 1313 45 1292881.54
0 1313 47 1292881.54
0 1313 57 1292881.54
0 1313 59 1292881.54
0 1313 61 1292881.54
0 1313 63 1292881.54
0 1315 2 1292881.541
0 1315 4 1292881.541
0 1315 5 1292881.541
0 1316 1 1292881.543
0 1316 2 1292881.543
0 1316 3 1292881.543
0 1316 4 1292881.543
0 1316 5 1292881.543
0 1316 6 1292881.543
0 1316 7 1292881.543
0 1317 1 1292881.543
0 1317 2 1292881.543
0 1317 3 1292881.543
0 1317 4 1292881.543
0 1317 5 1292881.543
0 1317 6 1292881.543
0 1317 7 1292881.543
0 1318 1 1292881.544
0 1318 2 1292881.544
0 1318 3 1292881.544
0 1318 4 1292881.544
0 1318 5 1292881.544
0 1318 6 1292881.544
0 1318 7 1292881.544
0 1319 1 1292881.544
0 1319 2 1292881.544
0 1319 3 1292881.544
0 1319 4 1292881.544
0 1319 5 1292881.544
0 1319 6 1292881.544
0 1319 7 1292881.544
0 1321 8 1292881.564
0 1321 9 1292881.564
0 1321 10 1292881.564
0 1321 11 1292881.564
0 1321 12 1292881.564
0 1321 13 1292881.564
0 1321 14 1292881.564
0 1321 15 1292881.564
0 1321 24 1292881.564
0 1321 25 1292881.564
0 1321 26 1292881.564
0 1321 27 1292881.564
0 1321 28 1292881.564
0 1321 29 1292881.564
0 1321 30 1292881.564
0 1321 31 1292881.564
0 1321 40 1292881.564
0 1321 41 1292881.564
0 1321 42 1292881.564
0 1321 43 1292881.564
0 1321 44 1292881.564
0 1321 45 1292881.564
0 1321 46 1292881.564
0 1321 47 1292881.564
0 1321 56 1292881.564
0 1321 57 1292881.564
0 1321 58 1292881.564
0 1321 59 1292881.564
0 1321 60 1292881.564
0 1321 61 1292881.564
0 1321 62 1292881.564
0 1321 63 1292881.564
0 1322 9 1292881.565
0 1322 11 1292881.565
0 1322 13 1292881.565
0 1322 15 1292881.565
0 1322 25 1292881.565
0 1322 27 1292881.565
0 1322 29 1292881.565
0 1322 31 1292881.565
0 1322 41 1292881.565
0 1322 43 1292881.565
0 1322 45 1292881.565
0 1322 47 1292881.565
0 1322 57 1292881.565
0 1322 59 1292881.565
0 1322 61 1292881.565
0 1322 63 1292881.565
0 1323 2 1292881.566
0 1323 4 1292881.566
0 1323 5 1292881.566
0 1324 1 1292881.567
0 1324 2 1292881.567
0 1324 3 1292881.567
0 1324 4 1292881.567
0 1324 5 1292881.567
0 1324 6 1292881.567
0 1324 7 1292881.567
0 1325 9 1292881.573
0 1325 11 1292881.573
0 1325 13 1292881.573
0 1325 15 1292881.573
0 1325 25 1292881.573
0 1325 27 1292881.573
0 1325 29 1292881.573
0 1325 31 1292881.573
0 1325 41 1292881.573
0 1325 43 1292881.573
0 1325 45 1292881.573
0 1325 47 1292881.573
0 1325 57 1292881.573
0 1325 59 1292881.573
0 1325 61 1292881.573
0 1325 63 1292881.573
0 1327 2 1292881.574
0 1327 4 1292881.574
0 1327 5 1292881.574
0 1328 1 1292881.575
0 1328 2 1292881.575
0 1328 3 1292881.575
0 1328 4 1292881.575
0 1328 5 1292881.575
0 1328 6 1292881.575
0 1328 7 1292881.575
0 1329 9 1292881.577
0 1329 11 1292881.577
0 1329 13 1292881.577
0 1329 15 1292881.577
0 1329 25 1292881.577
0 1329 27 1292881.577
0 1329 29 1292881.577
0 1329 31 1292881.577
0 1329 41 1292881.577
0 1329 43 1292881.577
0 1329 45 1292881.577
0 1329 47 1292881.577
0 1329 57 1292881.577
0 1329 59 1292881.577
0 1329 61 1292881.577
0 1329 63 1292881.577
0 1331 2 1292881.578
0 1331 4 1292881.578
0 1331 5 1292881.578
0 1332 1 1292881.579
0 1332 2 1292881.579
0 1332 3 1292881.579
0 1332 4 1292881.579
0 1332 5 1292881.579
0 1332 6 1292881.579
0 1332 7 1292881.579
0 1333 1 1292881.579
0 1333 2 1292881.579
0 1333 3 1292881.579
0 1333 4 1292881.579
0 1333 5 1292881.579
0 1333 6 1292881.579
0 1333 7 1292881.579
0 1334 1 1292881.58
0 1334 2 1292881.58
0 1334 3 1292881.58
0 1334 4 1292881.58
0 1334 5 1292881.58
0 1334 6 1292881.58
0 1334 7 1292881.58
0 1335 1 1292881.58
0 1335 2 1292881.58
0 1335 3 1292881.58
0 1335 4 1292881.58
0 1335 5 1292881.58
0 1335 6 1292881.58
0 1335 7 1292881.58
0 1337 7 1292881.592
0 1339 7 1292881.598
0 1341 1 1292881.62
0 1341 2 1292881.62
0 1341 3 1292881.62
0 1341 4 1292881.62
0 1341 5 1292881.62
0 1341 6 1292881.62
0 1341 7 1292881.62
0 1342 1 1292881.624
0 1342 2 1292881.624
0 1342 3 1292881.624
0 1342 4 1292881.624
0 1342 5 1292881.624
0 1342 6 1292881.624
0 1342 7 1292881.624
0 1343 1 1292881.658
0 1343 2 1292881.658
0 1343 3 1292881.658
0 1343 4 1292881.658
0 1343 5 1292881.658
0 1343 6 1292881.658
0 1343 7 1292881.658
0 1344 1 1292881.662
0 1344 2 1292881.662
0 1344 3 1292881.662
0 1344 4 1292881.662
0 1344 5 1292881.662
0 1344 6 1292881.662
0 1344 7 1292881.662
0 1345 1 1292881.665
0 1345 2 1292881.665
0 1345 3 1292881.665
0 1345 4 1292881.665
0 1345 5 1292881.665
0 1345 6 1292881.665
0 1345 7 1292881.665
0 1346 1 1292881.668
0 1346 2 1292881.668
0 1346 3 1292881.668
0 1346 4 1292881.668
0 1346 5 1292881.668
0 1346 6 1292881.668
0 1346 7 1292881.668
0 1347 1 1292881.671
0 1347 2 1292881.671
0 1347 3 1292881.671
0 1347 4 1292881.671
0 1347 5 1292881.671
0 1347 6 1292881.671
0 1347 7 1292881.671
0 1348 1 1292881.673
0 1348 2 1292881.673
0 1348 3 1292881.673
0 1348 4 1292881.673
0 1348 5 1292881.673
0 1348 6 1292881.673
0 1348 7 1292881.673
0 1350 1 1292881.701
0 1350 2 1292881.701
0 1350 3 1292881.701
0 1350 4 1292881.701
0 1350 5 1292881.701
0 1350 6 1292881.701
0 1350 7 1292881.701
0 1351 1 1292881.702
0 1351 3 1292881.702
0 1351 5 1292881.702
0 1351 7 1292881.702
0 1352 2 1292881.703
0 1352 3 1292881.703
0 1352 6 1292881.703
0 1352 7 1292881.703
0 1353 4 1292881.703
0 1353 5 1292881.703
0 1353 6 1292881.703
0 1353 7 1292881.703
0 1354 1 1292881.704
0 1354 2 1292881.704
0 1354 3 1292881.704
0 1354 4 1292881.704
0 1354 5 1292881.704
0 1354 6 1292881.704
0 1354 7 1292881.704
0 1355 1 1292881.705
0 1355 2 1292881.705
0 1355 3 1292881.705
0 1355 4 1292881.705
0 1355 5 1292881.705
0 1355 6 1292881.705
0 1355 7 1292881.705
0 1356 1 1292881.705
0 1356 2 1292881.705
0 1356 3 1292881.705
0 1356 4 1292881.705
0 1356 5 1292881.705
0 1356 6 1292881.705
0 1356 7 1292881.705
0 1357 1 1292881.729
0 1357 2 1292881.729
0 1357 3 1292881.729
0 1357 4 1292881.729
0 1357 5 1292881.729
0 1357 6 1292881.729
0 1357 7 1292881.729
0 1362 8 1292882.564
0 1362 9 1292882.564
0 1362 10 1292882.564
0 1362 11 1292882.564
0 1362 12 1292882.564
0 1362 13 1292882.564
0 1362 14 1292882.564
0 1362 15 1292882.564
0 1362 24 1292882.564
0 1362 25 1292882.564
0 1362 26 1292882.564
0 1362 27 1292882.564
0 1362 28 1292882.564
0 1362 29 1292882.564
0 1362 30 1292882.564
0 1362 31 1292882.564
0 1362 40 1292882.564
0 1362 41 1292882.564
0 1362 42 1292882.564
0 1362 43 1292882.564
0 1362 44 1292882.564
0 1362 45 1292882.564
0 1362 46 1292882.564
0 1362 47 1292882.564
0 1362 56 1292882.564
0 1362 57 1292882.564
0 1362 58 1292882.564
0 1362 59 1292882.564
0 1362 60 1292882.564
0 1362 61 1292882.564
0 1362 62 1292882.564
0 1362 63 1292882.564
0 1363 9 1292882.565
0 1363 11 1292882.565
0 1363 13 1292882.565
0 1363 15 1292882.565
0 1363 25 1292882.565
0 1363 27 1292882.565
0 1363 29 1292882.565
0 1363 31 1292882.565
0 1363 41 1292882.565
0 1363 43 1292882.565
0 1363 45 1292882.565
0 1363 47 1292882.565
0 1363 57 1292882.565
0 1363 59 1292882.565
0 1363 61 1292882.565
0 1363 63 1292882.565
0 1364 2 1292882.566
0 1364 4 1292882.566
0 1364 5 1292882.566
0 1365 1 1292882.567
0 1365 2 1292882.567
0 1365 3 1292882.567
0 1365 4 1292882.567
0 1365 5 1292882.567
0 1365 6 1292882.567
0 1365 7 1292882.567
0 1366 9 1292882.569
0 1366 11 1292882.569
0 1366 13 1292882.569
0 1366 15 1292882.569
0 1366 25 1292882.569
0 1366 27 1292882.569
0 1366 29 1292882.569
0 1366 31 1292882.569
0 1366 41 1292882.569
0 1366 43 1292882.569
0 1366 45 1292882.569
0 1366 47 1292882.569
0 1366 57 1292882.569
0 1366 59 1292882.569
0 1366 61 1292882.569
0 1366 63 1292882.569
0 1368 2 1292882.57
0 1368 4 1292882.57
0 1368 5 1292882.57
0 1369 1 1292882.572
0 1369 2 1292882.572
0 1369 3 1292882.572
0 1369 4 1292882.572
0 1369 5 1292882.572
0 1369 6 1292882.572
0 1369 7 1292882.572
0 1370 9 1292882.573
0 1370 11 1292882.573
0 1370 13 1292882.573
0 1370 15 1292882.573
0 1370 25 1292882.573
0 1370 27 1292882.573
0 1370 29 1292882.573
0 1370 31 1292882.573
0 1370 41 1292882.573
0 1370 43 1292882.573
0 1370 45 1292882.573
0 1370 47 1292882.573
0 1370 57 1292882.573
0 1370 59 1292882.573
0 1370 61 1292882.573
0 1370 63 1292882.573
0 1372 2 1292882.574
0 1372 4 1292882.574
0 1372 5 1292882.574
0 1373 1 1292882.575
0 1373 2 1292882.575
0 1373 3 1292882.575
0 1373 4 1292882.575
